company_id,company_name,latest_reporting_date,latest_period,latest_arr,latest_mrr,latest_cash,latest_runway_months,latest_arr_growth,latest_confidence
13,Next Century Spirits,2025-05-31 00:00:00.000000,YTD May 2025,,,,,0.0,medium
14,PROTECT3D,2025-06-11 00:00:00.000000,Q1 2025,,,,12.0,0.0,high
29,Troupe,2025-06-25 00:00:00.000000,Q1 & Q2 2025,36000.0,,,,0.0,medium
32,HelloWarrant,2025-06-11 00:00:00.000000,"April 11 - June 11, 2025",,,,,0.0,medium
34,Tromml,2025-06-20 00:00:00.000000,June 2025,,,,,0.0,medium
39,Lumata Health,2025-06-02 00:00:00.000000,Q1 2025,,,,,0.0,low
48,Virnika,2025-06-25 00:00:00.000000,June 2025,,,,6.0,0.0,medium
52,Dimmo,2025-06-02 00:00:00.000000,April/May 2025,,,590.0,15.0,0.0,high
54,CompostNow,2025-06-17 00:00:00.000000,2024 Annual,,,,,0.0,low
68,Murphy's Naturals,2025-05-29 00:00:00.000000,Q1 2025,,,,,0.0,high
93,Altis Biosystems,2025-05-28 00:00:00.000000,Q1 2025,,,,,0.0,low
115,Trayecto,2025-06-01 00:00:00.000000,May 2025,,,,,0.0,medium
123,Sift Media,2025-05-31 00:00:00.000000,May 2025,,,287000.0,,0.0,high
128,Natryx,2025-05-31 00:00:00.000000,May 2025,,,,,0.0,low
129,HomeCloud,2025-06-09 00:00:00.000000,YTD 2025 through May 2025,,,1951000.0,,0.0,high
151,Equity Shift,2025-02-03 00:00:00.000000,January 2025,,,,,0.0,low
163,Validic,2025-05-31 00:00:00.000000,May 2025,,,,,0.0,low
178,Dendi,2025-06-16 00:00:00.000000,June 2025,,,,,0.0,low
